Number,q1,q2,q3,raceeth,q6,q7,q23,q26,q28
135,5,1,3,7,1.63,86.18,2,1,
136,5,1,2,6,1.5,44.45,1,1,
137,4,1,2,5,1.65,50.8,2,1,1
138,5,1,2,6,1.65,44.45,1,2,1
139,5,2,2,6,,,2,2,
140,4,1,2,6,1.63,54.43,2,2,1
141,6,1,2,6,1.52,63.5,2,2,1
142,4,1,2,7,1.42,44.91,2,1,2
143,4,2,2,7,1.83,102.97,2,2,1
144,4,1,2,6,1.52,46.72,2,2,1
145,5,1,2,8,1.65,58.97,2,2,2
146,4,1,2,6,1.6,58.97,2,1,1
147,5,2,2,6,1.78,117.94,2,2,1
148,4,1,2,6,1.57,56.7,2,2,
149,5,2,2,7,1.78,84.82,2,2,1
150,5,2,2,6,1.65,108.86,2,2,1
151,4,2,2,6,,,2,2,1
152,4,2,2,7,1.78,65.77,2,2,1
153,5,2,2,6,1.93,74.84,2,2,
154,5,2,1,7,1.68,65.32,2,2,
155,4,1,2,6,1.6,77.11,2,2,1
156,5,2,2,5,1.65,63.5,1,2,1
157,4,2,2,7,,,2,2,1
158,5,1,2,6,1.42,40.82,2,1,3
159,4,1,2,6,1.63,59.88,2,2,1
160,5,2,2,7,1.85,77.11,2,2,1
161,3,1,1,6,1.55,49.9,2,2,1
162,3,2,1,6,1.83,81.65,2,2,1
163,3,2,1,7,1.63,58.06,2,2,1
164,4,2,1,7,1.55,49.9,2,2,1
165,3,1,1,1,1.52,48.08,1,1,3
166,3,1,1,6,,,2,2,1
167,4,1,1,6,1.6,54.43,2,2,
168,4,2,1,6,1.7,97.98,1,1,2
169,4,2,1,7,1.65,52.16,2,2,1
170,5,1,1,5,1.57,61.24,2,2,1
171,4,2,1,,1.68,97.52,2,2,
172,4,1,1,6,1.37,51.26,2,2,
173,4,2,1,1,,,2,1,5
174,4,2,1,7,1.83,95.26,2,2,1
175,3,1,1,6,1.57,59.42,2,2,1
176,3,2,1,3,1.75,62.6,2,2,
177,3,1,1,7,,,1,1,1
178,3,2,1,6,,,2,2,1
179,4,1,1,1,1.57,52.62,2,2,1
180,4,1,1,6,1.68,73.48,2,2,1
181,4,1,1,6,,,,,
182,3,1,1,6,1.47,45.36,2,2,1
183,3,1,1,6,1.63,48.99,2,2,1
184,4,1,1,7,,,2,1,4
185,4,1,1,7,1.63,72.58,2,2,1
186,6,1,3,7,1.6,63.5,2,2,1
187,6,2,4,7,1.83,101.61,1,2,1
188,6,2,3,7,1.68,129.28,2,2,1
189,5,1,3,7,1.68,53.98,2,1,3
190,6,2,4,7,1.85,68.95,2,1,1
191,5,1,3,7,1.7,76.2,2,1,1
192,7,1,4,6,1.5,54.43,2,2,1
193,7,2,4,7,1.83,71.67,2,2,1
194,5,2,3,7,1.7,52.16,1,2,1
195,5,2,3,6,1.7,74.84,2,2,1
196,4,1,2,7,1.6,73.48,2,2,1
197,6,2,3,7,1.85,131.54,2,1,2
198,5,1,3,7,1.55,59.88,2,2,1
199,5,1,3,6,1.7,74.39,2,1,4
200,7,1,4,7,1.65,78.93,2,2,1
201,6,1,3,7,1.57,58.97,1,1,3
202,5,1,2,7,1.63,63.05,2,2,1
203,7,1,4,7,1.6,48.99,2,2,1
204,6,2,4,5,1.8,80.74,2,2,1
205,7,1,4,6,1.57,50.8,2,2,1
206,6,1,4,7,1.68,102.97,2,2,1
207,6,2,4,7,1.73,49.9,2,2,1
208,6,1,3,7,1.6,52.16,2,2,1
209,6,1,4,6,,,2,2,1
210,6,1,3,7,1.52,58.97,2,2,1
211,6,2,4,7,1.68,58.97,2,2,1
212,6,1,3,7,1.6,63.5,2,2,
213,7,1,4,7,1.6,86.18,2,2,1
214,6,1,4,7,1.73,63.5,2,2,1
215,6,1,3,7,1.6,73.94,2,1,3
216,7,1,4,7,1.75,72.12,2,2,1
217,6,1,4,6,,,2,1,1
218,5,2,3,7,1.73,72.58,2,2,1
219,6,1,3,6,1.52,99.79,2,2,1
220,6,2,4,7,1.88,85.28,2,1,1
221,6,1,4,7,,,1,1,1
222,6,1,4,7,1.55,63.5,2,2,1
223,7,1,4,,,,2,2,1
224,6,1,3,6,1.65,90.72,1,1,1
225,6,2,3,7,1.83,73.48,2,2,1
226,6,2,3,7,1.75,68.04,2,2,1
227,5,2,3,6,1.78,79.38,2,2,
228,5,2,3,6,,,2,2,
229,5,1,3,7,1.55,66.23,2,2,
230,5,2,3,6,1.8,121.11,2,1,1
231,7,1,4,6,,,2,2,1
232,7,2,4,7,1.78,92.99,2,2,1
233,6,1,4,7,1.57,63.5,2,2,
234,6,2,4,6,1.8,92.99,2,2,1
235,6,1,4,1,1.68,91.17,1,2,1
236,6,2,3,7,1.68,52.16,2,2,1
237,5,2,3,6,1.68,72.58,2,2,1
238,5,1,3,6,1.52,53.07,2,2,1
239,7,2,3,7,1.78,76.2,2,2,1
240,6,2,4,7,1.85,137.89,2,2,1
241,6,2,4,6,1.68,113.4,2,2,1
242,7,1,4,7,1.57,50.35,2,1,2
243,6,2,4,7,1.73,99.79,2,2,
244,6,1,4,7,1.55,61.24,2,2,
245,7,2,4,6,1.85,131.54,2,2,1
246,6,1,4,7,1.68,95.26,2,2,1
247,6,2,4,7,1.68,54.43,2,2,1
248,6,2,4,7,1.75,72.58,2,2,1
249,5,2,2,5,1.75,70.76,2,2,1
250,5,1,3,6,1.57,70.31,2,2,1
251,5,1,3,6,1.6,61.24,2,2,1
252,4,1,2,7,1.6,48.08,2,2,1
253,4,1,2,8,1.68,54.43,2,2,1
254,5,2,2,5,1.75,72.58,1,1,1
255,4,1,2,7,1.65,52.16,2,2,1
256,4,1,2,7,1.6,66.23,2,1,2
